epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,461.164,0.58641,0.52433,1.25931,0.02781,0.98197,0.72222,0.83915,0.76624,0.50093,0.94518,1.36511,0.10431,0.000779,0.000779,0.000779
39,472.543,0.57794,0.51219,1.17292,0.02355,0.92723,0.77778,0.855,0.789,0.54821,1.0124,1.42974,0.08022,0.000746,0.000746,0.000746
40,484.323,0.59527,0.53033,1.23732,0.03367,0.91088,0.77778,0.80524,0.7137,0.58378,1.19289,1.53214,0.08799,0.000713,0.000713,0.000713
41,497.202,0.56312,0.50143,1.21654,0.02427,0.87704,0.77778,0.80183,0.70327,0.51966,1.16093,1.47893,0.04015,0.00068,0.00068,0.00068
42,508.1,0.53787,0.46395,1.13737,0.01882,0.91997,0.77778,0.83397,0.71811,0.4523,0.92673,1.32645,0.05142,0.000647,0.000647,0.000647
43,519.565,0.54405,0.46208,1.19567,0.02287,0.92424,0.77778,0.8081,0.73402,0.4499,1.05063,1.26931,0.05609,0.000614,0.000614,0.000614
44,532.594,0.54191,0.493,1.15231,0.01705,0.86629,0.77778,0.7574,0.69088,0.49426,1.37371,1.2749,0.05681,0.000581,0.000581,0.000581
45,544.023,0.55105,0.48392,1.21498,0.0205,0.86189,0.77778,0.79286,0.70221,0.52768,1.24197,1.33414,0.04086,0.000548,0.000548,0.000548
46,555.324,0.53591,0.49139,1.18444,0.03169,0.83294,0.8311,0.81033,0.71934,0.52768,1.123,1.38153,0.05989,0.000515,0.000515,0.000515
47,568.151,0.50497,0.44319,1.14594,0.03108,0.85597,0.77778,0.7925,0.70991,0.52377,1.17891,1.35803,0.05275,0.000482,0.000482,0.000482
