epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7563,1.55483,2.5232,2.82903,0.10927,0.93312,0.77532,0.91683,0.71386,0.72914,2.16467,1.80538,0.04268,0.000655914,0.000655914,0.000655914
2,26.0039,1.21403,1.59618,2.21398,0.04089,0.83399,0.94444,0.93324,0.77008,0.70837,1.66087,1.57575,0.04656,0.00130076,0.00130076,0.00130076
3,39.0622,1.12361,1.40021,2.02338,0.05154,0.82843,0.88889,0.88346,0.67546,0.81529,1.37598,1.8038,0.02552,0.0019236,0.0019236,0.0019236
4,50.3267,1.17251,1.39319,2.01951,0.04373,0.93615,0.81528,0.9477,0.67802,0.88567,1.24458,1.67819,0.03244,0.001901,0.001901,0.001901
5,62.2158,1.06191,1.26354,1.86453,0.04541,0.79441,0.88889,0.9056,0.70504,0.69122,1.09784,1.51749,0.04897,0.001868,0.001868,0.001868
6,74.494,1.04164,1.10046,1.77756,0.05423,0.93361,0.83333,0.91313,0.73383,0.71249,0.85147,1.45303,0.00762,0.001835,0.001835,0.001835
7,85.6997,1.00004,1.06045,1.72529,0.04304,0.89363,0.93397,0.9329,0.72036,0.74855,0.81587,1.50361,0.01566,0.001802,0.001802,0.001802
8,96.1621,0.89695,1.00074,1.63432,0.0467,0.8122,0.83333,0.82236,0.58072,0.96076,1.25159,1.82001,0.04313,0.001769,0.001769,0.001769
9,108.59,0.9334,0.99592,1.63274,0.04231,0.84082,0.88889,0.94642,0.71989,0.72456,0.8667,1.52,0.0151,0.001736,0.001736,0.001736
10,120.997,0.87716,0.89986,1.68452,0.03993,0.88407,0.88889,0.94023,0.77724,0.7177,0.78261,1.49981,0.02362,0.001703,0.001703,0.001703
11,133.911,0.90687,0.90136,1.66582,0.04406,1,0.81862,0.93703,0.76345,0.70195,0.8266,1.45483,0.01445,0.00167,0.00167,0.00167
12,147.418,0.84097,0.81551,1.56341,0.03561,1,0.87741,0.96886,0.8188,0.60509,0.73928,1.41792,0.00991,0.001637,0.001637,0.001637
13,158.778,0.87376,0.92631,1.59206,0.03307,0.94644,0.98231,0.98342,0.81746,0.5941,0.66267,1.52065,0.01783,0.001604,0.001604,0.001604
14,170.216,0.82216,0.84456,1.58481,0.03581,0.94404,0.83333,0.90544,0.78512,0.64379,0.95207,1.448,0.02934,0.001571,0.001571,0.001571
15,184.379,0.84886,0.80239,1.53024,0.03117,0.84504,0.94444,0.89544,0.79761,0.58603,0.79937,1.45205,0.02265,0.001538,0.001538,0.001538
16,195.982,0.78665,0.75583,1.56463,0.03842,0.88071,0.82092,0.92325,0.66677,0.69864,0.89449,1.49044,0.00959,0.001505,0.001505,0.001505
17,208.983,0.73624,0.74965,1.54994,0.02417,0.87947,0.88889,0.8893,0.74542,0.60286,0.7791,1.474,0.01049,0.001472,0.001472,0.001472
18,220.171,0.72728,0.71794,1.49509,0.02867,0.85997,0.77778,0.84356,0.69868,0.62781,0.86114,1.43193,0.00894,0.001439,0.001439,0.001439
19,231.738,0.71091,0.68479,1.4554,0.02868,0.77251,0.94335,0.92641,0.76491,0.55614,0.72853,1.38464,0.01102,0.001406,0.001406,0.001406
20,248.089,0.73935,0.74074,1.50147,0.0292,1,0.76164,0.87759,0.72418,0.59795,1.00588,1.42984,0.00718,0.001373,0.001373,0.001373
