epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
21,260.596,0.70236,0.66899,1.47216,0.0276,0.89364,0.94444,0.95018,0.79871,0.48218,0.67824,1.40622,0.00828,0.00134,0.00134,0.00134
22,272.348,0.75305,0.72302,1.51158,0.0331,0.90543,0.77778,0.87464,0.75229,0.6064,0.82159,1.49435,0.01232,0.001307,0.001307,0.001307
23,286.424,0.69485,0.64354,1.43709,0.02669,0.87378,0.76961,0.85758,0.7426,0.59361,0.85481,1.51861,0.01015,0.001274,0.001274,0.001274
24,297.558,0.6808,0.63559,1.45678,0.02124,0.90704,0.77778,0.89592,0.73976,0.64147,0.77289,1.44344,0.00537,0.001241,0.001241,0.001241
25,309.449,0.67935,0.64517,1.41974,0.03447,0.87715,0.83333,0.94306,0.82215,0.54245,0.73991,1.40291,0.00829,0.001208,0.001208,0.001208
26,322.426,0.72836,0.68639,1.47245,0.02649,0.98764,0.72222,0.85145,0.72746,0.52975,0.90376,1.40888,0.01,0.001175,0.001175,0.001175
27,333.41,0.69871,0.66989,1.41724,0.02924,0.82504,0.88889,0.87876,0.72206,0.63772,0.79691,1.5472,0.02752,0.001142,0.001142,0.001142
28,345.786,0.70228,0.65844,1.39453,0.02695,0.85949,0.72222,0.77514,0.63516,0.61326,1.15548,1.48744,0.016,0.001109,0.001109,0.001109
29,356.12,0.69647,0.62743,1.38081,0.02448,0.8396,0.87301,0.88697,0.72413,0.62566,0.89712,1.43864,0.01015,0.001076,0.001076,0.001076
30,367.375,0.64901,0.58654,1.36525,0.02303,0.76791,0.94444,0.87611,0.71787,0.61062,0.82013,1.48369,0.01038,0.001043,0.001043,0.001043
31,381.401,0.65557,0.61624,1.42197,0.02779,0.80644,0.94444,0.9002,0.71101,0.67017,0.78768,1.51806,0.00926,0.00101,0.00101,0.00101
32,395.461,0.65032,0.58969,1.38338,0.02578,0.77269,0.94444,0.88087,0.69853,0.66006,0.82326,1.60091,0.01148,0.000977,0.000977,0.000977
33,408.763,0.58977,0.54812,1.31212,0.0173,0.92358,0.77778,0.794,0.63118,0.69989,0.9811,1.56472,0.01885,0.000944,0.000944,0.000944
34,421.58,0.61027,0.58422,1.34562,0.02117,0.75596,0.88889,0.89748,0.70304,0.60196,0.84692,1.45156,0.00882,0.000911,0.000911,0.000911
35,434.428,0.62224,0.57256,1.38958,0.01594,0.84602,0.94444,0.90653,0.73498,0.56691,0.81538,1.40098,0.02543,0.000878,0.000878,0.000878
36,450.765,0.59242,0.53085,1.30754,0.01858,0.8411,0.94444,0.91217,0.73943,0.57342,0.80161,1.52262,0.01253,0.000845,0.000845,0.000845
37,464.353,0.5879,0.51851,1.35535,0.01488,0.89408,0.93816,0.95191,0.78791,0.53548,0.65267,1.37647,0.01608,0.000812,0.000812,0.000812
38,476.724,0.57628,0.51442,1.29928,0.01765,0.81747,0.99544,0.94538,0.79868,0.51314,0.6254,1.36727,0.00792,0.000779,0.000779,0.000779
39,491.14,0.58294,0.50322,1.29215,0.02214,0.94028,0.87538,0.91548,0.73766,0.52073,0.71765,1.37738,0.01023,0.000746,0.000746,0.000746
40,503.501,0.61065,0.52959,1.33179,0.02653,0.89393,0.93681,0.93342,0.7509,0.56224,0.76344,1.42707,0.00969,0.000713,0.000713,0.000713
